"International inbound tourists (thousands)"
"14","New Zealand","..","","1780","","2353","","2435","","2511","","2473","","2629","","2772","","3039","","3370","","3555",""
"126","Nicaragua","281","","486","","712","","1011","","1060","","1180","","1229","","1330","","1386","","1504","","1787",""
"189","Niger","35","","50","","58","","74","","82","","94","","123","","135","","135","","152","","164",""
"158","Nigeria","656","","813","","1010","","1555","","715","","486","","600","","..","","1255","","1889","","..",""
"82","North Macedonia","147","","224","","197","","262","","327","","351","","400","","425","","486","","510","","631",""
"1","Norway","2880","","3104","","3824","","4767","","4963","","4538","","4778","","4855","","5361","","5960","","6252",""
"47","Oman","279","","571","","891","","1441","","1018","","1241","","1392","","1611","","1909","","2335","","2372",""
"152","Pakistan","378","","557","","798","","907","","1161","","966","","..","","..","","..","","..","","..",""
"55","Palau","53","","58","","81","","85","","111","","120","","108","","140","","162","","138","","123",""
"119","Palestine, State of","..","","310","","88","","522","","449","","490","","545","","556","","432","","400","","503",""
"67","Panama","345","","484","","702","","1324","","1473","","1606","","1658","","1745","","2110","","1921","","1843",""
"155","Papua New Guinea","42","","58","","69","","140","","158","","168","","174","","182","","185","","179","","..",""
"98","Paraguay","438","","289","","341","","465","","524","","579","","610","","649","","1215","","1308","","1584",""
"82","Peru","479","","800","","1571","","2299","","2598","","2846","","3164","","3215","","3456","","3744","","4032",""
"106","Philippines","1760","","1992","","2623","","3520","","3917","","4273","","4681","","4833","","5361","","5967","","6621",""
"32","Poland","19215","","17400","","15200","","12470","","13350","","14840","","15800","","16000","","16728","","17471","","18258",""
"40","Portugal","4572","","5599","","5769","","6756","","7264","","7503","","9177","","10497","","11723","","13359","","15432",""
"41","Qatar","309","","378","","913","","1700","","2057","","2324","","2612","","2839","","2941","","2938","","2257",""
"52","Romania","5445","","5264","","5839","","7498","","7611","","7937","","8019","","8442","","9331","","10223","","10926",""
"49","Russian Federation","10290","","21169","","22201","","22281","","24932","","28177","","30792","","32421","","33729","","24571","","24390",""
"157","Rwanda","..","","104","","..","","504","","688","","815","","864","","926","","987","","932","","..",""
"73","Saint Kitts and Nevis","79","","73","","141","","98","","104","","104","","107","","113","","122","","..","","..",""
"89","Saint Lucia","231","","270","","318","","306","","312","","307","","319","","338","","345","","348","","386",""
"94","Saint Vincent and the Grenadines","60","","73","","96","","72","","74","","74","","72","","71","","75","","79","","76",""
"111","Samoa","68","","88","","102","","122","","121","","126","","116","","120","","128","","134","","146",""
"..","San Marino","28","","43","","50","","120","","156","","139","","71","","75","","54","","60","","78",""
"137","Sao Tome and Principe","6","","7","","16","","8","","12","","..","","..","","..","","26","","29","","..",""
"36","Saudi Arabia","3325","","6585","","8037","","10850","","14179","","16332","","15772","","18260","","17994","","18044","","16109",""
"166","Senegal","280","","389","","769","","900","","968","","962","","1063","","963","","1007","","1210","","1365",""
"63","Serbia","..","","..","","453","","683","","764","","810","","922","","1029","","1132","","1281","","1497",""
"62","Seychelles","121","","130","","129","","175","","194","","208","","230","","233","","276","","303","","350",""
"181","Sierra Leone","14","","16","","40","","39","","52","","60","","81","","44","","24","","55","","..",""
"9","Singapore","6070","","6062","","7079","","9161","","10390","","11098","","11899","","11864","","12051","","12914","","13903",""
"36","Slovakia","903","","1053","","1515","","1327","","1460","","1528","","1670","","1475","","1721","","2027","","2162",""
